serial_no,event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
337,43dc2e59-080b-429d-bba0-b04cff599b1f,Hackathon 0337 • Graduate School Pathways,Hackathon,Graduate School Pathways,Join us for a hackathon on Graduate School Pathways.,05/15/2026 18:00,05/15/2026 20:00,America/New_York,In-person,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,121,1,116,74,3.62
338,2953d983-d4f4-4758-9b20-d5ee178e9b8c,Career Fair 0338 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for a career fair on Consulting Case Prep.,11/13/2024 10:00,11/13/2024 11:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,784,1,666,454,4.73
339,1c7456fa-f1ae-4745-b2dd-21cb052a8be0,Hackathon 0339 • Cybersecurity Trends,Hackathon,Cybersecurity Trends,Join us for a hackathon on Cybersecurity Trends.,03/15/2024 14:00,03/15/2024 15:00,America/Los_Angeles,In-person,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,157,1,136,118,4.89
340,d1f68f98-91b0-4d4f-a9b7-6cbb83f94a13,Meetup 0340 • Resume & Interview Mastery,Meetup,Resume & Interview Mastery,Join us for a meetup on Resume & Interview Mastery.,09/25/2026 14:00,09/25/2026 16:00,America/Chicago,Hybrid,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,187,0,111,82,3.95
341,2edf48dc-dc33-45c7-874b-4ea264652418,Guest Lecture 0341 • Networking with Employers,Guest Lecture,Networking with Employers,Join us for a guest lecture on Networking with Employers.,02/21/2022 18:00,02/21/2022 21:00,America/New_York,Hybrid,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,96,1,69,58,4.67
342,8e1cbeff-61df-465f-9365-a6d28331357f,Webinar 0342 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,09/28/2024 10:00,09/28/2024 11:00,America/Chicago,Hybrid,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,278,1,240,171,4.38
343,31f43822-df0b-444d-b425-995b9e046bc3,Guest Lecture 0343 • Cloud & DevOps Pathways,Guest Lecture,Cloud & DevOps Pathways,Join us for a guest lecture on Cloud & DevOps Pathways.,05/29/2026 10:00,05/29/2026 16:00,America/Los_Angeles,In-person,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,81,1,59,41,4.53
344,3b4de37d-c566-4490-bd96-163a076ff917,Webinar 0344 • AI & Data Analytics Careers,Webinar,AI & Data Analytics Careers,Join us for a webinar on AI & Data Analytics Careers.,06/23/2025 18:00,06/23/2025 19:00,America/Los_Angeles,Hybrid,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,314,1,260,236,4.87
345,808fde06-1447-46b9-8e38-f7224d61ca2c,Career Fair 0345 • Tech for Good,Career Fair,Tech for Good,Join us for a career fair on Tech for Good.,01/20/2026 18:00,01/20/2026 20:00,America/Los_Angeles,Virtual,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,1015,1,598,572,3.84
346,045e23a6-4abf-44f4-ab03-5670c19f7dce,Workshop 0346 • Entrepreneurship,Workshop,Entrepreneurship,Join us for a workshop on Entrepreneurship.,06/04/2022 14:00,06/04/2022 22:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,126,1,47,35,3.69
347,bdb7938c-b54b-4bc5-a12c-197a9a3800cb,Meetup 0347 • Graduate School Pathways,Meetup,Graduate School Pathways,Join us for a meetup on Graduate School Pathways.,08/19/2023 14:00,08/19/2023 17:00,America/New_York,In-person,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,120,1,103,100,3.66
348,c3610d44-4ba8-48b3-bfb2-c15297edfee8,Webinar 0348 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for a webinar on Cloud & DevOps Pathways.,11/21/2021 18:00,11/21/2021 20:00,America/New_York,Hybrid,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,545,1,530,437,4.81
349,413f7893-e47c-4e73-9ffa-e9c18e32e973,Career Fair 0349 • Product & Project Management,Career Fair,Product & Project Management,Join us for a career fair on Product & Project Management.,08/14/2023 14:00,08/14/2023 18:00,America/Chicago,Virtual,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,1167,0,1083,968,4.83
350,5dc96321-fc68-447c-8a93-208c07a3f48f,Career Fair 0350 • Entrepreneurship,Career Fair,Entrepreneurship,Join us for a career fair on Entrepreneurship.,03/20/2026 14:00,03/20/2026 22:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,850,1,837,607,3.83
351,708eb510-dc3c-4c72-ab8e-3c867dfec7c3,Meetup 0351 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,11/26/2020 10:00,11/26/2020 18:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,208,0,139,116,4.67
352,e8b75504-0a29-4f71-aa5e-5403e40207c3,Workshop 0352 • Graduate School Pathways,Workshop,Graduate School Pathways,Join us for a workshop on Graduate School Pathways.,09/11/2020 10:00,09/11/2020 13:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,132,1,111,94,4.76
353,bc4d9767-f762-43ca-ae8c-e10976ae9f50,Meetup 0353 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,10/06/2023 18:00,10/07/2023 00:00,America/New_York,Virtual,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,233,1,151,98,3.95
354,a81f0ee6-f3b1-4c59-a568-56e3b72d4754,Hackathon 0354 • AI & Data Analytics Careers,Hackathon,AI & Data Analytics Careers,Join us for a hackathon on AI & Data Analytics Careers.,04/23/2020 10:00,04/23/2020 11:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,157,1,134,107,4.33
355,98b6111b-ff0a-41fe-bb22-deab419f8c5f,Guest Lecture 0355 • Entrepreneurship,Guest Lecture,Entrepreneurship,Join us for a guest lecture on Entrepreneurship.,09/25/2023 18:00,09/25/2023 19:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,158,1,59,41,4.45
356,7e695295-d2e5-49a1-8f59-fd829fe147b6,Career Fair 0356 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,04/17/2020 14:00,04/17/2020 15:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,677,0,674,548,3.78
357,4a1ea834-3fb7-45d2-a730-77968849919f,Meetup 0357 • Cybersecurity Trends,Meetup,Cybersecurity Trends,Join us for a meetup on Cybersecurity Trends.,11/27/2021 18:00,11/28/2021 00:00,America/New_York,Virtual,Alumni Center,Boston,MA,USA,Data Science Institute,dsi@slu.edu,195,0,128,102,4.71
358,125843d4-af2e-4568-ac4b-cfd04e2346d1,Networking Night 0358 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,04/28/2026 14:00,04/28/2026 20:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,219,1,158,147,4.04
359,98624bd2-566e-4dc7-9abf-a264d5ecb280,Career Fair 0359 • Product & Project Management,Career Fair,Product & Project Management,Join us for a career fair on Product & Project Management.,08/28/2024 18:00,08/29/2024 00:00,America/New_York,In-person,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,1091,0,479,330,4.53
360,5018c0e3-5c6c-4442-8d9d-b49b88f273d5,Hackathon 0360 • Graduate School Pathways,Hackathon,Graduate School Pathways,Join us for a hackathon on Graduate School Pathways.,04/23/2025 18:00,04/24/2025 00:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,333,1,150,144,4.1
361,898af082-a715-40f0-a537-287ea0bdb2c6,Networking Night 0361 • Cloud & DevOps Pathways,Networking Night,Cloud & DevOps Pathways,Join us for a networking night on Cloud & DevOps Pathways.,07/20/2026 10:00,07/20/2026 13:00,America/Chicago,Virtual,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,287,1,255,161,4.84
362,77d9f52c-0cab-494a-87e2-7ddc3bdb7da6,Workshop 0362 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for a workshop on Cloud & DevOps Pathways.,03/06/2020 14:00,03/06/2020 15:00,America/Los_Angeles,Virtual,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,55,1,45,34,4.81
363,4c5d7776-d38c-4531-a92c-52f96c8f11ad,Meetup 0363 • Cloud & DevOps Pathways,Meetup,Cloud & DevOps Pathways,Join us for a meetup on Cloud & DevOps Pathways.,12/29/2025 14:00,12/29/2025 18:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,239,0,142,104,4.76
364,e1af873e-9744-48c2-9443-2b3581a37093,Networking Night 0364 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,04/09/2026 14:00,04/09/2026 20:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,370,0,289,257,3.61
365,72cb1057-11d8-42c6-822d-994279eecad1,Guest Lecture 0365 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,01/01/2022 14:00,01/01/2022 18:00,America/Chicago,Hybrid,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,178,1,60,36,4.54
366,cef031b8-4bec-48f4-b09a-c2729c84ff34,Meetup 0366 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,08/22/2022 10:00,08/22/2022 13:00,America/New_York,Virtual,Career Services Hall,Chicago,IL,USA,Alumni Office,alumni@slu.edu,109,0,52,51,4.18
367,90894842-cdef-43f6-a33c-e042afe7ff62,Workshop 0367 • Cybersecurity Trends,Workshop,Cybersecurity Trends,Join us for a workshop on Cybersecurity Trends.,05/14/2025 18:00,05/14/2025 19:00,America/New_York,Virtual,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,90,1,32,32,4.88
368,c3b6961f-67a3-4a7e-997a-faf3f28c3e8a,Workshop 0368 • Resume & Interview Mastery,Workshop,Resume & Interview Mastery,Join us for a workshop on Resume & Interview Mastery.,06/18/2026 10:00,06/18/2026 18:00,America/Chicago,In-person,Busch Student Center,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,134,1,94,68,4.61
369,dd2dbdcf-47d2-4960-8210-c52b82872828,Guest Lecture 0369 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for a guest lecture on AI & Data Analytics Careers.,03/27/2026 14:00,03/27/2026 20:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Data Science Institute,dsi@slu.edu,125,1,62,47,4.21
370,788c3f65-7028-464f-8925-3b2ffeb9e9ee,Webinar 0370 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for a webinar on Resume & Interview Mastery.,03/30/2026 14:00,03/30/2026 18:00,America/Chicago,Virtual,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,553,1,272,242,3.95
371,6544c280-24f3-446d-a409-eeb70b50c193,Webinar 0371 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,01/20/2026 18:00,01/21/2026 00:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,571,1,300,272,4.76
372,f101e336-ff39-44ba-b80c-7c1b44c05cfb,Networking Night 0372 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,03/10/2022 14:00,03/10/2022 20:00,America/Los_Angeles,Virtual,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,167,0,127,102,4.9
373,a76ded12-8714-4da4-85eb-10e658a961db,Workshop 0373 • AI & Data Analytics Careers,Workshop,AI & Data Analytics Careers,Join us for a workshop on AI & Data Analytics Careers.,10/07/2021 18:00,10/08/2021 00:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Career Services,careerservices@slu.edu,37,1,12,9,3.72
374,e90d4373-3e73-4a08-ac0e-f96030696b31,Hackathon 0374 • Consulting Case Prep,Hackathon,Consulting Case Prep,Join us for a hackathon on Consulting Case Prep.,04/28/2026 10:00,04/28/2026 13:00,America/Los_Angeles,Virtual,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,323,1,161,156,4.54
375,cf53190d-74a2-4ab8-95fa-e4936d5b043c,Guest Lecture 0375 • Consulting Case Prep,Guest Lecture,Consulting Case Prep,Join us for a guest lecture on Consulting Case Prep.,12/24/2026 10:00,12/24/2026 14:00,America/New_York,In-person,Busch Student Center,St. Louis,MO,USA,Alumni Office,alumni@slu.edu,284,1,256,255,4.04
376,c1e06b73-fbae-45d0-87a9-eb649cb41cb4,Hackathon 0376 • Cybersecurity Trends,Hackathon,Cybersecurity Trends,Join us for a hackathon on Cybersecurity Trends.,02/28/2022 10:00,02/28/2022 13:00,America/New_York,Hybrid,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,383,1,312,238,3.91
377,7b726b04-ff74-4e3a-97ca-89fce62faec2,Networking Night 0377 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,12/10/2026 10:00,12/10/2026 12:00,America/New_York,Virtual,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,102,1,77,69,4.62
378,5bf7a213-726c-47fb-a763-76ada88ebac6,Networking Night 0378 • AI & Data Analytics Careers,Networking Night,AI & Data Analytics Careers,Join us for a networking night on AI & Data Analytics Careers.,02/17/2021 14:00,02/17/2021 22:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,275,0,174,118,4.58
379,5a966325-ec7a-4499-9e70-61db70979b27,Panel 0379 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,12/29/2025 14:00,12/29/2025 20:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,128,1,116,90,4.5
380,9a3c8dfb-3d8d-4a4b-8cb3-01374263df14,Guest Lecture 0380 • Networking with Employers,Guest Lecture,Networking with Employers,Join us for a guest lecture on Networking with Employers.,03/13/2020 14:00,03/13/2020 20:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,Alumni Office,alumni@slu.edu,272,1,201,149,4.04
381,edbb1c20-9c7f-463c-8bf1-9d8c0093b003,Webinar 0381 • AI & Data Analytics Careers,Webinar,AI & Data Analytics Careers,Join us for a webinar on AI & Data Analytics Careers.,09/26/2021 10:00,09/26/2021 11:00,America/New_York,Hybrid,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,423,1,270,233,3.96
382,34d7956d-f742-4bcf-85ee-e4679e678afe,Networking Night 0382 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,08/19/2024 18:00,08/19/2024 21:00,America/New_York,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,234,0,183,145,4.89
383,3a6a5545-be46-491e-a6dd-514cbb78852d,Hackathon 0383 • Entrepreneurship,Hackathon,Entrepreneurship,Join us for a hackathon on Entrepreneurship.,06/02/2020 14:00,06/02/2020 15:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Alumni Office,alumni@slu.edu,235,1,92,70,4.1
384,57d2de43-a9f1-4e3d-8976-7cb1eacbb750,Hackathon 0384 • Resume & Interview Mastery,Hackathon,Resume & Interview Mastery,Join us for a hackathon on Resume & Interview Mastery.,09/26/2022 14:00,09/26/2022 15:00,America/Chicago,In-person,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,317,1,144,109,4.06
385,cf924238-456b-4186-9e9d-b8672550bb9f,Networking Night 0385 • Resume & Interview Mastery,Networking Night,Resume & Interview Mastery,Join us for a networking night on Resume & Interview Mastery.,01/07/2024 10:00,01/07/2024 11:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,396,1,231,231,4.4
386,78830946-e873-4249-bb77-53f074a38f9b,Career Fair 0386 • Cloud & DevOps Pathways,Career Fair,Cloud & DevOps Pathways,Join us for a career fair on Cloud & DevOps Pathways.,06/21/2023 10:00,06/21/2023 18:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,712,0,305,220,4.47
387,378897f7-fad9-46f4-96e3-9ee479867e34,Webinar 0387 • Networking with Employers,Webinar,Networking with Employers,Join us for a webinar on Networking with Employers.,10/14/2026 14:00,10/14/2026 18:00,America/Los_Angeles,Hybrid,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,688,1,224,171,3.73
388,8740ee44-1bfb-4d41-8882-6a6a96834db0,Meetup 0388 • AI & Data Analytics Careers,Meetup,AI & Data Analytics Careers,Join us for a meetup on AI & Data Analytics Careers.,11/12/2021 10:00,11/12/2021 14:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,School of Science & Engineering,sse-events@slu.edu,155,1,78,59,3.63
389,cfbd29e1-047b-42db-8247-b78025fa3f36,Hackathon 0389 • Cybersecurity Trends,Hackathon,Cybersecurity Trends,Join us for a hackathon on Cybersecurity Trends.,07/18/2022 10:00,07/18/2022 13:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,382,1,314,308,3.93
390,c17da67b-5b84-4a0c-831c-b05afddaf419,Career Fair 0390 • Entrepreneurship,Career Fair,Entrepreneurship,Join us for a career fair on Entrepreneurship.,10/10/2023 10:00,10/10/2023 13:00,America/New_York,In-person,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,1209,0,881,624,3.87
391,8581be8a-4a61-4280-b27b-2c1439092c63,Workshop 0391 • Cloud & DevOps Pathways,Workshop,Cloud & DevOps Pathways,Join us for a workshop on Cloud & DevOps Pathways.,04/18/2025 18:00,04/18/2025 22:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,63,1,36,33,4.73
392,22b4a056-f0e0-4b95-a37f-0f5da952116d,Career Fair 0392 • Networking with Employers,Career Fair,Networking with Employers,Join us for a career fair on Networking with Employers.,10/25/2021 18:00,10/25/2021 21:00,America/Los_Angeles,In-person,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,999,0,841,620,4.82
393,4c57c1ef-4b3c-48d0-b68b-ccd9fed2000a,Panel 0393 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,09/29/2020 10:00,09/29/2020 13:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,188,1,84,78,4.0
394,e96ab72d-bc8a-4df1-9733-71d2609401a2,Webinar 0394 • Entrepreneurship,Webinar,Entrepreneurship,Join us for a webinar on Entrepreneurship.,07/12/2022 18:00,07/13/2022 02:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,517,1,377,283,3.79
395,75dba374-347c-4e7c-bb19-84424bf39776,Workshop 0395 • Product & Project Management,Workshop,Product & Project Management,Join us for a workshop on Product & Project Management.,01/09/2022 14:00,01/09/2022 22:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,132,1,94,93,3.66
396,699fd297-d3c7-4736-aee5-585fa2f91f3c,Hackathon 0396 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,10/02/2023 18:00,10/03/2023 00:00,America/New_York,Hybrid,Virtual Stage,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,138,1,98,96,4.34
